,World Development Indicators,,,
http://data.worldbank.org/indicator/NY.GDP.MKTP.CD,,,,
Last Updated Date,7/8/16,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015
Aruba,ABW,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Andorra,AND,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Afghanistan,AFG,GDP at market prices (current US$),NY.GDP.MKTP.CD,19199437989
Angola,AGO,GDP at market prices (current US$),NY.GDP.MKTP.CD,102643000000
Albania,ALB,GDP at market prices (current US$),NY.GDP.MKTP.CD,11455595709
Arab World,ARB,GDP at market prices (current US$),NY.GDP.MKTP.CD,2530100000000
United Arab Emirates,ARE,GDP at market prices (current US$),NY.GDP.MKTP.CD,370293000000
Argentina,ARG,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Armenia,ARM,GDP at market prices (current US$),NY.GDP.MKTP.CD,10561401185
American Samoa,ASM,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Antigua and Barbuda,ATG,GDP at market prices (current US$),NY.GDP.MKTP.CD,1297285370
Australia,AUS,GDP at market prices (current US$),NY.GDP.MKTP.CD,1339540000000
Austria,AUT,GDP at market prices (current US$),NY.GDP.MKTP.CD,374056000000
Azerbaijan,AZE,GDP at market prices (current US$),NY.GDP.MKTP.CD,53047140347
Burundi,BDI,GDP at market prices (current US$),NY.GDP.MKTP.CD,3085184837
Belgium,BEL,GDP at market prices (current US$),NY.GDP.MKTP.CD,454039000000
Benin,BEN,GDP at market prices (current US$),NY.GDP.MKTP.CD,8476125181
Burkina Faso,BFA,GDP at market prices (current US$),NY.GDP.MKTP.CD,11099473097
Bangladesh,BGD,GDP at market prices (current US$),NY.GDP.MKTP.CD,195079000000
Bulgaria,BGR,GDP at market prices (current US$),NY.GDP.MKTP.CD,48952959080
Bahrain,BHR,GDP at market prices (current US$),NY.GDP.MKTP.CD,32221489362
"Bahamas, The",BHS,GDP at market prices (current US$),NY.GDP.MKTP.CD,8884441432
Bosnia and Herzegovina,BIH,GDP at market prices (current US$),NY.GDP.MKTP.CD,15995392118
Belarus,BLR,GDP at market prices (current US$),NY.GDP.MKTP.CD,54608962635
Belize,BLZ,GDP at market prices (current US$),NY.GDP.MKTP.CD,1763000000
Bermuda,BMU,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Bolivia,BOL,GDP at market prices (current US$),NY.GDP.MKTP.CD,33196819572
Brazil,BRA,GDP at market prices (current US$),NY.GDP.MKTP.CD,1774720000000
Barbados,BRB,GDP at market prices (current US$),NY.GDP.MKTP.CD,4451000000
Brunei Darussalam,BRN,GDP at market prices (current US$),NY.GDP.MKTP.CD,15492035784
Bhutan,BTN,GDP at market prices (current US$),NY.GDP.MKTP.CD,1962221696
Botswana,BWA,GDP at market prices (current US$),NY.GDP.MKTP.CD,14390863395
Central African Republic,CAF,GDP at market prices (current US$),NY.GDP.MKTP.CD,1503299944
Canada,CAN,GDP at market prices (current US$),NY.GDP.MKTP.CD,1550540000000
Central Europe and the Baltics,CEB,GDP at market prices (current US$),NY.GDP.MKTP.CD,1273220000000
Switzerland,CHE,GDP at market prices (current US$),NY.GDP.MKTP.CD,664738000000
Channel Islands,CHI,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Chile,CHL,GDP at market prices (current US$),NY.GDP.MKTP.CD,240216000000
China,CHN,GDP at market prices (current US$),NY.GDP.MKTP.CD,10866400000000
Cote d'Ivoire,CIV,GDP at market prices (current US$),NY.GDP.MKTP.CD,31752543539
Cameroon,CMR,GDP at market prices (current US$),NY.GDP.MKTP.CD,29198372811
"Congo, Rep.",COG,GDP at market prices (current US$),NY.GDP.MKTP.CD,8553154506
Colombia,COL,GDP at market prices (current US$),NY.GDP.MKTP.CD,292080000000
Comoros,COM,GDP at market prices (current US$),NY.GDP.MKTP.CD,
