category,currency,seller_rating,duration,end_day,close_price,open_price,competitive?
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0
Automotive,US,3115,7,Tue,0.01,0.01,0
Automotive,US,3115,7,Tue,0.01,0.01,0
Automotive,US,3115,7,Tue,0.01,0.01,0
Automotive,US,3115,7,Tue,0.01,0.01,0
Automotive,US,3115,7,Tue,0.01,0.01,1
Automotive,US,3115,7,Tue,0.01,0.01,1
Music/Movie/Game,US,37727,7,Mon,0.01,0.01,0
Music/Movie/Game,US,3249,5,Mon,0.06,0.01,1
Music/Movie/Game,US,3249,5,Mon,0.1,0.01,1
SportingGoods,US,34343,1,Fri,0.11,0.01,1
Music/Movie/Game,US,3249,5,Mon,0.11,0.01,1
Music/Movie/Game,US,3249,5,Mon,0.17,0.01,1
Music/Movie/Game,US,3249,5,Mon,0.17,0.01,1
Music/Movie/Game,US,3249,5,Mon,0.21,0.01,1
Music/Movie/Game,US,3249,5,Mon,0.55,0.01,1
Music/Movie/Game,US,3249,5,Mon,0.55,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.05,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.25,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.25,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.25,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.25,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.29,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.3,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.32,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.32,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.37,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.5,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.58,0.01,1
Music/Movie/Game,US,3249,5,Mon,1.75,0.01,1
Music/Movie/Game,US,3249,5,Mon,2.0,0.01,1
Music/Movie/Game,US,3249,5,Mon,2.0,0.01,1
Music/Movie/Game,US,3249,5,Mon,2.0,0.01,1
Music/Movie/Game,US,3249,5,Mon,2.05,0.01,1
Music/Movie/Game,US,3249,5,Mon,2.13,0.01,1
Music/Movie/Game,US,3249,5,Mon,2.25,0.01,1
Music/Movie/Game,US,3249,5,Mon,2.25,0.01,1
