date,close
1-May-95,533.4
1-Jun-95,544.75
3-Jul-95,562.06
1-Aug-95,561.88
1-Sep-95,584.41
2-Oct-95,581.5
1-Nov-95,605.37
1-Dec-95,615.93
2-Jan-96,636.02
1-Feb-96,640.43
1-Mar-96,645.5
1-Apr-96,654.17
1-May-96,669.12
3-Jun-96,670.63
1-Jul-96,639.95
1-Aug-96,651.99
3-Sep-96,687.31
1-Oct-96,705.27
1-Nov-96,757.02
2-Dec-96,740.74
2-Jan-97,786.16
3-Feb-97,790.82
3-Mar-97,757.12
1-Apr-97,801.34
1-May-97,848.28
2-Jun-97,885.14
1-Jul-97,954.29
1-Aug-97,899.47
2-Sep-97,947.28
1-Oct-97,914.62
3-Nov-97,955.4
1-Dec-97,970.43
2-Jan-98,980.28
2-Feb-98,1049.34
2-Mar-98,1101.75
1-Apr-98,1111.75
1-May-98,1090.82
1-Jun-98,1133.84
1-Jul-98,1120.67
3-Aug-98,957.28
1-Sep-98,1017.01
1-Oct-98,1098.67
2-Nov-98,1163.63
1-Dec-98,1229.23
4-Jan-99,1279.64
1-Feb-99,1238.33
1-Mar-99,1286.37
1-Apr-99,1335.18
3-May-99,1301.84
1-Jun-99,1372.71
1-Jul-99,1328.72
2-Aug-99,1320.41
1-Sep-99,1282.71
1-Oct-99,1362.93
1-Nov-99,1388.91
1-Dec-99,1469.25
3-Jan-00,1394.46
1-Feb-00,1366.42
1-Mar-00,1498.58
3-Apr-00,1452.43
1-May-00,1420.6
1-Jun-00,1454.6
3-Jul-00,1430.83
1-Aug-00,1517.68
1-Sep-00,1436.51
2-Oct-00,1429.4
1-Nov-00,1314.95
1-Dec-00,1320.28
2-Jan-01,1366.01
1-Feb-01,1239.94
1-Mar-01,1160.33
2-Apr-01,1249.46
1-May-01,1255.82
1-Jun-01,1224.42
2-Jul-01,1211.23
1-Aug-01,1133.58
4-Sep-01,1040.94
1-Oct-01,1059.01
1-Nov-01,1139.45
3-Dec-01,1148.08
2-Jan-02,1130.2
1-Feb-02,1106.73
1-Mar-02,1147.39
1-Apr-02,1076.64
1-May-02,1067.14
3-Jun-02,989.81
1-Jul-02,911.62
1-Aug-02,916.07
3-Sep-02,815.29
1-Oct-02,885.77
1-Nov-02,936.31
2-Dec-02,879.82
2-Jan-03,855.7
3-Feb-03,841.15
3-Mar-03,848.18
1-Apr-03,916.92
1-May-03,963.59
2-Jun-03,974.51
1-Jul-03,990.31
1-Aug-03,1008.01
